txn_id,district,region,merchant_category,txn_amount_mwk,txn_hour,txn_count_last_24h,device_changes_last_30d,distance_from_home_km,is_known_anomaly
T00079,Dedza,Central,Grocery,3809.1,20,9,2,0.0,0
T00080,Zomba,Southern,Grocery,19575.32,20,1,2,7.02,0
T00081,Mangochi,Southern,Grocery,9290.21,18,2,0,1.76,0
T00082,Mangochi,Southern,Airtime,6294.84,17,1,0,0.0,0
T00083,Lilongwe,Central,Restaurant,12133.99,12,4,0,47.07,0
T00084,Rumphi,Northern,Hardware,12874.21,8,2,0,52.08,0
T00085,Dedza,Central,Hardware,53136.48,18,3,0,0.0,0
T00086,Salima,Central,Pharmacy,15198.79,14,4,0,0.0,0
T00087,Mangochi,Southern,Grocery,32565.12,11,1,0,0.0,0
T00088,Mangochi,Southern,Grocery,54528.71,14,2,0,16.92,0
T00089,Salima,Central,Pharmacy,15493.95,7,3,2,10.82,0
T00090,Lilongwe,Central,Airtime,14509.17,9,2,0,0.0,0
T00091,Kasungu,Central,Fuel,13400.08,10,2,1,48.11,0
T00092,Mzimba,Northern,Grocery,17185.98,12,1,1,0.0,0
T00093,Zomba,Southern,Airtime,47396.58,16,1,2,8.55,0
T00094,Mzimba,Northern,Grocery,9204.37,14,9,1,40.69,0
T00095,Lilongwe,Central,Grocery,23358.5,11,3,1,23.01,0
T00096,Karonga,Northern,Pharmacy,12413.39,12,3,1,13.42,0
T00097,Rumphi,Northern,Airtime,20825.78,9,3,0,18.31,0
T00098,Karonga,Northern,Airtime,43812.72,7,3,0,19.09,0
T00099,Mzuzu,Northern,Grocery,5019.27,17,1,1,29.7,0
T00100,Kasungu,Central,Grocery,25737.85,18,2,0,44.09,0
T00101,Kasungu,Central,Grocery,22788.77,21,3,0,28.91,0
T00102,Thyolo,Southern,Hardware,9270.6,16,3,0,0.0,0
T00103,Mzimba,Northern,Grocery,26991.24,12,3,1,0.0,0
T00104,Kasungu,Central,Restaurant,21721.13,14,2,0,4.09,0
T00105,Rumphi,Northern,Grocery,42449.33,7,3,4,1.48,0
T00106,Zomba,Southern,Pharmacy,10750.01,12,5,1,11.23,0
T00107,Mzuzu,Northern,Fuel,11465.46,9,3,0,12.87,0
T00108,Salima,Central,Pharmacy,230414.71,2,16,4,1130.72,1
T00109,Mangochi,Southern,Grocery,28068.11,12,2,1,14.66,0
T00110,Karonga,Northern,Pharmacy,17792.51,11,2,1,11.21,0
T00111,Zomba,Southern,Airtime,108747.24,10,2,0,52.66,0
T00112,Rumphi,Northern,Airtime,10074.9,12,2,0,49.73,0
T00113,Thyolo,Southern,Airtime,3185.56,20,3,0,33.61,0
T00114,Blantyre,Southern,Grocery,158482.81,23,14,6,826.53,1
T00115,Mangochi,Southern,Hardware,18885.34,18,1,0,0.0,0
T00116,Karonga,Northern,Restaurant,13152.15,21,6,1,16.85,0
T00117,Mzuzu,Northern,Fuel,130968.4,20,3,2,26.99,0
T00118,Thyolo,Southern,Restaurant,54198.25,6,5,0,9.16,0
T00119,Mzimba,Northern,Airtime,12519.47,21,4,2,27.18,0
T00120,Dedza,Central,Airtime,5631.78,10,5,1,28.65,0
T00121,Rumphi,Northern,Fuel,13232.87,7,1,2,0.42,0
T00122,Salima,Central,Hardware,18821.48,16,2,0,52.72,0
T00123,Lilongwe,Central,Grocery,6450.46,11,2,0,28.92,0
T00124,Rumphi,Northern,Pharmacy,8079.15,17,2,1,2.92,0
T00125,Dedza,Central,Grocery,9239.61,7,7,1,19.9,0
T00126,Mzuzu,Northern,Grocery,35723.18,16,2,2,0.0,0
T00127,Kasungu,Central,Restaurant,9044.31,10,5,1,0.0,0
T00128,Mzimba,Northern,Fuel,50134.08,20,2,1,0.0,0
T00129,Blantyre,Southern,Airtime,7057.6,20,2,0,0.0,0
T00130,Rumphi,Northern,Grocery,33442.29,10,6,1,2.45,0
T00131,Lilongwe,Central,Grocery,5034.5,17,3,0,65.89,0
T00132,Dedza,Central,Grocery,7921.06,9,2,1,7.12,0
T00133,Mzuzu,Northern,Pharmacy,11342.99,15,4,2,7.92,0
T00134,Rumphi,Northern,Grocery,7243.85,13,6,0,37.12,0
T00135,Dedza,Central,Grocery,17597.3,12,4,1,56.38,0
T00136,Dedza,Central,Grocery,43217.03,18,1,2,0.0,0
T00137,Mzuzu,Northern,Hardware,9336.39,21,2,2,5.27,0
T00138,Mangochi,Southern,Airtime,2728.89,19,2,2,6.55,0
T00139,Mzuzu,Northern,Hardware,20412.92,11,3,1,18.62,0
T00140,Dedza,Central,Pharmacy,7833.02,12,1,0,39.59,0
T00141,Mangochi,Southern,Fuel,11169.68,13,1,1,54.93,0
T00142,Zomba,Southern,Restaurant,34520.77,12,1,2,9.99,0
T00143,Kasungu,Central,Grocery,6133.87,7,4,0,33.12,0
T00144,Salima,Central,Grocery,29897.33,11,3,0,17.77,0
T00145,Salima,Central,Restaurant,57375.19,10,2,2,0.0,0
T00146,Blantyre,Southern,Fuel,12875.92,14,4,0,22.16,0
T00147,Rumphi,Northern,Grocery,16842.66,16,2,0,15.35,0
T00148,Karonga,Northern,Airtime,4522.63,14,2,1,0.0,0
T00149,Thyolo,Southern,Pharmacy,7947.46,14,5,1,12.69,0
T00150,Kasungu,Central,Grocery,22691.56,16,3,0,0.0,0
T00151,Zomba,Southern,Grocery,49174.03,19,1,1,2.15,0
T00152,Rumphi,Northern,Airtime,8846.05,19,1,1,27.21,0
T00153,Mzuzu,Northern,Grocery,165568.41,15,1,1,0.0,0
T00154,Lilongwe,Central,Grocery,15537.71,16,5,1,59.8,0
T00155,Karonga,Northern,Pharmacy,95312.15,0,22,6,1025.66,1
T00156,Mangochi,Southern,Pharmacy,5414.21,14,2,3,36.97,0
T00157,Dedza,Central,Grocery,31707.46,18,2,2,42.9,0
T00158,Lilongwe,Central,Airtime,4906.34,11,3,0,65.33,0
T00159,Lilongwe,Central,Airtime,11036.78,6,1,1,14.01,0
T00160,Mzimba,Northern,Grocery,38557.13,21,1,1,0.0,0
T00161,Kasungu,Central,Grocery,16754.26,9,5,2,11.34,0
T00162,Thyolo,Southern,Restaurant,21194.69,12,2,0,16.91,0
T00163,Rumphi,Northern,Hardware,27843.1,20,3,0,0.0,0
T00164,Mangochi,Southern,Airtime,28844.44,10,4,1,1.3,0
T00165,Rumphi,Northern,Hardware,18173.24,14,2,0,37.88,0
T00166,Mzimba,Northern,Restaurant,57862.47,7,2,0,32.85,0
T00167,Salima,Central,Fuel,19167.15,19,3,0,5.05,0
T00168,Mzuzu,Northern,Grocery,8405.26,8,2,1,3.22,0
T00169,Dedza,Central,Hardware,22219.8,10,5,2,13.69,0
T00170,Salima,Central,Fuel,20899.99,17,1,5,10.4,0
T00171,Kasungu,Central,Airtime,7296.04,6,3,2,0.12,0
T00172,Kasungu,Central,Fuel,34707.06,17,5,1,10.99,0
T00173,Mangochi,Southern,Hardware,15321.89,17,4,0,0.0,0
T00174,Dedza,Central,Fuel,312417.57,4,24,4,1125.39,1
T00175,Dedza,Central,Hardware,47935.23,11,1,0,0.0,0
T00176,Kasungu,Central,Grocery,5685.68,11,3,2,8.53,0
T00177,Blantyre,Southern,Grocery,22474.61,15,1,1,19.9,0
T00178,Blantyre,Southern,Fuel,43116.85,14,2,0,1.11,0
T00179,Blantyre,Southern,Hardware,33728.27,12,3,2,17.3,0
T00180,Rumphi,Northern,Pharmacy,19623.49,9,3,2,0.0,0
T00181,Rumphi,Northern,Pharmacy,7322.1,11,2,0,0.0,0
T00182,Karonga,Northern,Airtime,8171.4,20,3,3,16.71,0
T00183,Mzuzu,Northern,Pharmacy,13166.11,13,5,1,39.55,0
T00184,Zomba,Southern,Restaurant,269655.7,0,24,3,701.34,1
T00185,Karonga,Northern,Pharmacy,38426.77,10,4,0,0.0,0
T00186,Mzimba,Northern,Grocery,58539.36,11,2,0,4.72,0
T00187,Rumphi,Northern,Pharmacy,17423.01,13,1,0,22.07,0
T00188,Mangochi,Southern,Grocery,13755.25,12,2,1,0.0,0
T00189,Blantyre,Southern,Pharmacy,55018.69,12,7,2,5.98,0
T00190,Blantyre,Southern,Grocery,22124.39,9,5,1,0.0,0
T00191,Blantyre,Southern,Restaurant,10970.36,8,1,0,18.34,0
T00192,Lilongwe,Central,Restaurant,87318.8,12,1,2,17.83,0
T00193,Mangochi,Southern,Grocery,27705.53,21,3,2,0.0,0
T00194,Mzuzu,Northern,Grocery,54821.86,20,7,1,0.0,0
T00195,Kasungu,Central,Grocery,58420.4,9,4,2,7.48,0
T00196,Salima,Central,Grocery,16480.59,14,7,1,0.0,0
T00197,Mzuzu,Northern,Airtime,7952.12,21,5,2,36.01,0
T00198,Kasungu,Central,Hardware,18570.76,12,3,0,11.96,0
T00199,Blantyre,Southern,Grocery,12017.9,14,2,0,30.55,0
T00200,Mzuzu,Northern,Grocery,26811.49,16,7,1,0.0,0
T00201,Mangochi,Southern,Grocery,9577.15,15,2,0,0.0,0
T00202,Zomba,Southern,Hardware,15322.92,21,1,0,1.61,0
T00203,Mzimba,Northern,Grocery,76525.86,2,35,7,667.16,1
T00204,Salima,Central,Airtime,6134.02,16,1,0,0.0,0
T00205,Blantyre,Southern,Airtime,20436.86,21,2,0,9.36,0
T00206,Zomba,Southern,Pharmacy,23809.07,8,1,1,35.57,0
T00207,Mzuzu,Northern,Airtime,12016.37,10,2,0,0.0,0
T00208,Mzimba,Northern,Hardware,25758.09,10,2,0,9.48,0
T00209,Mzuzu,Northern,Restaurant,8990.09,20,2,3,19.17,0
T00210,Mangochi,Southern,Airtime,20387.28,18,3,1,0.0,0
T00211,Blantyre,Southern,Grocery,33122.69,10,1,1,41.05,0
T00212,Lilongwe,Central,Airtime,39225.21,9,6,2,43.98,0
T00213,Blantyre,Southern,Fuel,30825.94,13,3,0,11.33,0
T00214,Karonga,Northern,Hardware,9299.82,10,3,0,0.0,0
T00215,Dedza,Central,Restaurant,5740.19,20,5,5,52.13,0
T00216,Salima,Central,Pharmacy,14966.85,18,3,0,38.69,0
T00217,Mzimba,Northern,Grocery,15794.45,14,3,0,0.0,0
T00218,Mangochi,Southern,Fuel,12695.44,16,2,1,18.7,0
T00219,Kasungu,Central,Restaurant,46628.69,20,1,0,0.0,0
T00220,Dedza,Central,Fuel,10633.15,15,4,1,0.0,0
T00221,Lilongwe,Central,Fuel,17160.17,17,1,0,30.51,0
T00222,Kasungu,Central,Hardware,18328.47,13,4,1,27.56,0
T00223,Salima,Central,Fuel,18516.53,13,5,2,24.63,0
T00224,Kasungu,Central,Pharmacy,34894.46,8,6,0,39.59,0
T00225,Rumphi,Northern,Pharmacy,7560.1,6,1,0,33.86,0
T00226,Mangochi,Southern,Pharmacy,25991.77,20,3,0,24.8,0
T00227,Dedza,Central,Airtime,9687.49,20,3,0,22.28,0
T00228,Mangochi,Southern,Grocery,8424.21,20,2,0,28.17,0
T00229,Salima,Central,Pharmacy,18386.16,14,2,0,33.42,0
T00230,Karonga,Northern,Grocery,16791.86,13,4,0,1.32,0
T00231,Mzimba,Northern,Grocery,69552.5,9,3,0,19.71,0
T00232,Zomba,Southern,Grocery,39190.67,13,2,1,50.07,0
T00233,Mzimba,Northern,Grocery,15308.19,8,5,3,0.0,0
T00234,Blantyre,Southern,Fuel,92490.07,9,2,2,0.0,0
T00235,Mzuzu,Northern,Grocery,8898.34,13,1,1,0.0,0
T00236,Blantyre,Southern,Grocery,31530.23,11,3,0,20.31,0
T00237,Dedza,Central,Fuel,12022.07,18,2,1,30.22,0
T00238,Mzimba,Northern,Fuel,16104.67,14,1,0,44.84,0
T00239,Mangochi,Southern,Fuel,13282.27,18,3,0,0.0,0
T00240,Thyolo,Southern,Fuel,36937.69,19,6,2,17.91,0
T00241,Mzimba,Northern,Fuel,60112.3,12,1,1,34.81,0
T00242,Zomba,Southern,Grocery,23869.81,17,5,0,0.0,0
T00243,Mangochi,Southern,Airtime,11722.95,12,2,0,21.93,0
T00244,Rumphi,Northern,Grocery,29423.19,17,4,1,4.13,0
T00245,Dedza,Central,Hardware,5757.7,16,2,1,41.91,0
T00246,Thyolo,Southern,Fuel,49141.69,17,6,1,41.43,0
T00247,Mzimba,Northern,Fuel,16430.98,11,3,1,18.62,0
T00248,Mzuzu,Northern,Airtime,10268.85,14,4,1,0.0,0
T00249,Lilongwe,Central,Restaurant,6868.78,21,3,1,0.0,0
T00250,Thyolo,Southern,Fuel,68644.04,17,1,2,33.74,0
T00251,Lilongwe,Central,Fuel,26024.73,18,1,1,21.15,0
T00252,Lilongwe,Central,Hardware,9124.62,14,1,1,21.5,0
T00253,Thyolo,Southern,Grocery,24083.84,17,4,1,33.16,0
T00254,Salima,Central,Hardware,18351.71,12,5,0,20.19,0
T00255,Blantyre,Southern,Hardware,6522.17,14,1,1,56.05,0
T00256,Mzuzu,Northern,Pharmacy,12694.15,10,2,2,47.91,0
T00257,Rumphi,Northern,Grocery,39212.9,9,1,2,64.58,0
T00258,Karonga,Northern,Grocery,6357.84,7,4,1,3.14,0
T00259,Zomba,Southern,Grocery,31797.09,14,3,0,14.23,0
T00260,Thyolo,Southern,Grocery,12038.23,7,1,0,0.0,0
T00261,Salima,Central,Restaurant,24173.03,12,3,1,54.11,0
T00262,Lilongwe,Central,Hardware,8756.22,20,3,1,41.53,0
T00263,Zomba,Southern,Airtime,12738.49,8,6,3,7.57,0
T00264,Mzimba,Northern,Grocery,118202.36,3,30,8,445.78,1
T00265,Lilongwe,Central,Airtime,14091.89,7,1,1,20.41,0
T00266,Zomba,Southern,Hardware,17900.83,18,5,1,11.76,0
T00267,Dedza,Central,Grocery,51814.25,14,8,1,0.0,0
T00268,Salima,Central,Grocery,26422.26,12,3,0,0.0,0
T00269,Blantyre,Southern,Airtime,8769.29,13,1,0,44.12,0
T00270,Zomba,Southern,Fuel,13245.14,8,5,1,0.0,0
T00271,Lilongwe,Central,Grocery,22397.23,13,1,0,32.39,0
T00272,Rumphi,Northern,Grocery,13230.06,15,6,1,0.0,0
T00273,Karonga,Northern,Airtime,5216.41,16,8,1,2.99,0
T00274,Blantyre,Southern,Airtime,4457.49,21,2,1,44.82,0
T00275,Karonga,Northern,Grocery,13479.33,14,5,1,7.55,0
T00276,Dedza,Central,Restaurant,21760.39,12,5,1,75.65,0
T00277,Dedza,Central,Airtime,10948.95,17,5,2,0.0,0
T00278,Lilongwe,Central,Fuel,9654.95,6,1,1,58.26,0
T00279,Mzuzu,Northern,Hardware,11972.33,11,3,0,6.48,0
T00280,Thyolo,Southern,Grocery,26305.7,18,3,0,0.51,0
T00281,Mzuzu,Northern,Restaurant,716708.21,4,19,5,929.7,1
T00282,Mangochi,Southern,Grocery,10689.43,8,2,0,7.62,0
T00283,Lilongwe,Central,Grocery,20901.47,9,1,3,11.23,0
T00284,Dedza,Central,Airtime,36734.33,6,4,2,0.0,0
T00285,Mzimba,Northern,Airtime,29465.94,21,1,2,8.28,0
T00286,Mangochi,Southern,Fuel,18631.75,18,4,1,0.0,0
T00287,Mzuzu,Northern,Grocery,14656.1,13,4,1,34.34,0
T00288,Kasungu,Central,Fuel,10291.78,13,3,2,0.0,0
T00289,Salima,Central,Grocery,5533.31,17,2,2,11.89,0
T00290,Karonga,Northern,Pharmacy,3919.9,20,1,1,0.0,0
T00291,Mzuzu,Northern,Hardware,31653.94,6,3,2,14.15,0
T00292,Kasungu,Central,Grocery,26166.46,9,3,0,0.0,0
T00293,Blantyre,Southern,Airtime,58547.32,18,4,1,48.02,0
T00294,Salima,Central,Pharmacy,9273.58,10,4,2,13.37,0
T00295,Salima,Central,Hardware,36511.88,15,2,1,2.04,0
T00296,Blantyre,Southern,Fuel,9850.33,18,2,0,16.58,0
T00297,Mzimba,Northern,Fuel,13949.2,9,1,0,4.55,0
T00298,Lilongwe,Central,Fuel,21451.0,20,6,1,21.22,0
T00299,Mzimba,Northern,Restaurant,24262.2,9,3,0,28.41,0
T00300,Zomba,Southern,Airtime,19033.33,8,2,0,61.51,0
T00301,Mzuzu,Northern,Pharmacy,19150.12,10,3,0,0.0,0
T00302,Lilongwe,Central,Grocery,93775.64,9,2,2,61.61,0
T00303,Mangochi,Southern,Fuel,70246.54,9,3,3,28.52,0
T00304,Mzimba,Northern,Restaurant,23131.03,7,1,0,52.83,0
T00305,Mangochi,Southern,Grocery,8431.69,16,4,2,0.0,0
T00306,Zomba,Southern,Restaurant,4667.08,21,1,0,37.46,0
T00307,Mzimba,Northern,Grocery,56867.98,9,1,0,15.89,0
T00308,Rumphi,Northern,Restaurant,15528.06,21,1,3,55.5,0
T00309,Rumphi,Northern,Grocery,31219.47,20,4,1,0.0,0
T00310,Zomba,Southern,Restaurant,26338.07,13,3,0,0.0,0
T00311,Dedza,Central,Grocery,10289.61,7,2,1,0.0,0
T00312,Zomba,Southern,Hardware,1448.86,16,2,1,0.0,0
T00313,Mangochi,Southern,Grocery,6794.64,9,1,0,0.0,0
T00314,Mzimba,Northern,Grocery,15301.63,20,4,0,11.69,0
T00315,Mzuzu,Northern,Grocery,39274.22,21,2,1,30.92,0
T00316,Zomba,Southern,Restaurant,17638.76,16,1,2,47.81,0
T00317,Dedza,Central,Grocery,7958.43,21,3,3,11.96,0
T00318,Rumphi,Northern,Grocery,38207.28,7,4,4,0.0,0
T00319,Kasungu,Central,Grocery,9012.55,14,1,0,22.88,0
T00320,Salima,Central,Restaurant,37948.64,16,1,1,23.4,0
T00321,Kasungu,Central,Grocery,68004.43,11,6,0,0.0,0
T00322,Lilongwe,Central,Airtime,14527.48,17,3,1,7.38,0
T00323,Mzimba,Northern,Hardware,6957.43,16,7,1,14.5,0
T00324,Mangochi,Southern,Grocery,35996.96,18,1,0,0.0,0
T00325,Mangochi,Southern,Grocery,5376.48,7,2,0,12.22,0
T00326,Kasungu,Central,Hardware,5693.68,16,2,1,62.17,0
T00327,Blantyre,Southern,Grocery,13962.24,8,3,1,1.27,0
T00328,Zomba,Southern,Grocery,6475.76,21,2,0,58.69,0
T00329,Rumphi,Northern,Grocery,24125.07,13,2,1,10.18,0
T00330,Mzimba,Northern,Grocery,34096.15,7,5,1,22.84,0
T00331,Kasungu,Central,Grocery,14060.84,11,1,2,9.72,0
T00332,Karonga,Northern,Pharmacy,19987.41,11,1,2,1.72,0
T00333,Mzimba,Northern,Grocery,6367.75,16,3,2,14.05,0
T00334,Mangochi,Southern,Grocery,78763.03,13,2,2,6.65,0
T00335,Mangochi,Southern,Restaurant,25295.93,9,3,3,81.58,0
T00336,Blantyre,Southern,Pharmacy,12689.59,11,4,1,44.53,0
T00337,Thyolo,Southern,Grocery,9930.54,12,3,2,28.82,0
T00338,Kasungu,Central,Grocery,39535.88,12,2,3,0.0,0
T00339,Blantyre,Southern,Hardware,35006.15,19,3,1,0.0,0
T00340,Rumphi,Northern,Grocery,33266.72,6,5,2,6.62,0
T00341,Kasungu,Central,Airtime,10983.42,7,5,1,0.0,0
T00342,Kasungu,Central,Airtime,10897.91,11,5,1,0.0,0
T00343,Blantyre,Southern,Grocery,111389.48,4,23,8,307.03,1
T00344,Mzimba,Northern,Fuel,14684.07,6,8,2,17.6,0
T00345,Dedza,Central,Airtime,13726.54,16,5,1,9.62,0
T00346,Thyolo,Southern,Fuel,6744.22,7,1,1,35.07,0
T00347,Blantyre,Southern,Grocery,38168.01,20,2,0,17.05,0
T00348,Mzuzu,Northern,Pharmacy,5859.03,6,3,1,0.0,0
T00349,Mangochi,Southern,Pharmacy,17171.1,13,2,0,29.71,0
T00350,Salima,Central,Airtime,5533.05,7,2,2,3.9,0
T00351,Zomba,Southern,Grocery,2613.52,14,2,1,4.74,0
T00352,Mzimba,Northern,Airtime,16546.32,21,4,3,37.55,0
T00353,Karonga,Northern,Fuel,4181.32,8,1,0,8.74,0
T00354,Zomba,Southern,Grocery,34548.73,12,4,0,0.0,0
T00355,Lilongwe,Central,Grocery,31505.92,17,2,1,12.38,0
T00356,Mzuzu,Northern,Airtime,65971.88,17,2,0,3.78,0
T00357,Zomba,Southern,Grocery,29178.81,19,2,1,59.34,0
T00358,Blantyre,Southern,Grocery,12044.99,19,6,0,0.0,0
T00359,Lilongwe,Central,Fuel,8475.27,6,1,1,43.16,0
T00360,Dedza,Central,Airtime,14294.99,13,1,1,40.03,0
T00361,Karonga,Northern,Grocery,32312.25,21,4,1,0.0,0
T00362,Mzimba,Northern,Restaurant,29033.2,21,5,0,33.75,0
T00363,Blantyre,Southern,Hardware,20329.53,18,3,0,0.0,0
T00364,Blantyre,Southern,Airtime,8757.76,6,3,1,5.09,0
T00365,Blantyre,Southern,Fuel,9326.9,16,1,0,10.84,0
T00366,Dedza,Central,Fuel,14132.5,6,2,0,57.15,0
T00367,Rumphi,Northern,Hardware,96770.0,0,28,4,942.19,1
T00368,Salima,Central,Grocery,20212.56,8,2,1,6.33,0
T00369,Salima,Central,Fuel,14460.41,12,4,1,0.0,0
T00370,Kasungu,Central,Fuel,42125.24,15,5,0,0.0,0
T00371,Blantyre,Southern,Grocery,262022.49,2,25,7,1008.37,1
T00372,Salima,Central,Pharmacy,11451.13,9,1,1,35.32,0
T00373,Mangochi,Southern,Hardware,38412.65,21,5,1,0.0,0
T00374,Zomba,Southern,Hardware,16042.73,11,3,0,16.03,0
T00375,Mzimba,Northern,Fuel,10810.79,16,4,4,0.0,0
T00376,Zomba,Southern,Fuel,14447.41,19,4,1,0.0,0
T00377,Mzimba,Northern,Pharmacy,11314.05,15,2,0,0.0,0
T00378,Zomba,Southern,Grocery,32479.48,21,4,0,2.01,0
T00379,Karonga,Northern,Fuel,13323.34,8,2,0,0.0,0
T00380,Karonga,Northern,Pharmacy,63302.96,7,3,0,10.7,0
T00381,Salima,Central,Fuel,33765.34,13,2,0,38.06,0
T00382,Dedza,Central,Grocery,39843.99,7,5,2,32.83,0
T00383,Kasungu,Central,Airtime,4400.37,18,2,0,0.0,0
T00384,Mangochi,Southern,Grocery,13109.89,9,2,0,15.72,0
T00385,Mzuzu,Northern,Restaurant,69026.71,13,2,1,0.0,0
T00386,Mangochi,Southern,Fuel,23400.24,21,5,0,31.12,0
T00387,Zomba,Southern,Restaurant,20333.21,6,1,0,0.0,0
T00388,Rumphi,Northern,Grocery,8937.82,15,8,1,31.93,0
