basket_id,item_name
B00084,Toothpaste
B00084,Soap
B00084,Milk
B00085,Eggs
B00085,Likuni Phala
B00085,Milk
B00086,Soap
B00086,Airtime2000
B00086,Chicken
B00086,Toothpaste
B00087,Potatoes
B00087,Eggs
B00087,Water
B00087,Rice
B00087,Likuni Phala
B00087,Toothpaste
B00087,Soap
B00088,Potatoes
B00088,Eggs
B00088,Beans
B00088,Airtime2000
B00088,Toothpaste
B00088,Airtime1000
B00089,Onions
B00089,Cooking Oil
B00089,Tomatoes
B00089,Likuni Phala
B00089,Milk
B00090,Chicken
B00090,Onions
B00090,Cooking Oil
B00090,Beans
B00090,Rice
B00090,Airtime2000
B00090,Sugar
B00090,Airtime1000
B00090,Milk
B00091,Bread
B00091,Likuni Phala
B00091,Toothpaste
B00091,Biscuits
B00091,Airtime1000
B00091,Milk
B00092,Cooking Oil
B00092,Beans
B00092,Likuni Phala
B00092,Toothpaste
B00092,Airtime1000
B00093,Soap
B00093,Rice
B00094,Potatoes
B00094,Tomatoes
B00094,Airtime1000
B00094,Onions
B00095,Soft Drink
B00095,Onions
B00095,Tomatoes
B00095,Bread
B00095,Sugar
B00095,Milk
B00096,Water
B00096,Cooking Oil
B00096,Airtime1000
B00096,Onions
B00097,Sugar
B00097,Toothpaste
B00098,Soft Drink
B00098,Onions
B00098,Potatoes
B00098,Beans
B00098,Bread
B00098,Milk
B00099,Onions
B00099,Cooking Oil
B00099,Eggs
B00099,Tomatoes
B00099,Beans
B00099,Airtime1000
B00099,Milk
B00100,Water
B00100,Tomatoes
B00100,Likuni Phala
B00101,Rice
B00101,Soap
B00101,Tomatoes
B00101,Soft Drink
B00102,Chicken
B00102,Onions
B00102,Eggs
B00102,Bread
B00102,Airtime2000
B00102,Toothpaste
B00102,Biscuits
B00102,Milk
B00103,Potatoes
B00103,Water
B00103,Bread
B00103,Airtime2000
B00103,Likuni Phala
B00103,Sugar
B00103,Airtime1000
B00103,Milk
B00104,Water
B00104,Soap
B00104,Soft Drink
B00105,Soap
B00105,Tomatoes
B00105,Likuni Phala
B00105,Toothpaste
B00106,Onions
B00106,Chicken
B00106,Rice
B00106,Airtime2000
B00106,Likuni Phala
B00106,Airtime1000
B00107,Onions
B00107,Potatoes
B00107,Tomatoes
B00107,Bread
B00107,Airtime2000
B00107,Toothpaste
B00107,Milk
B00108,Beans
B00108,Cooking Oil
B00108,Rice
B00109,Beans
B00109,Onions
B00110,Soft Drink
B00110,Onions
B00110,Tomatoes
B00110,Beans
B00110,Tea
B00110,Toothpaste
B00110,Sugar
B00110,Soap
B00110,Airtime1000
B00111,Onions
B00111,Cooking Oil
B00111,Tomatoes
B00111,Water
B00111,Tea
B00111,Toothpaste
B00111,Soap
B00112,Soft Drink
B00112,Cooking Oil
B00112,Biscuits
B00112,Eggs
B00113,Onions
B00113,Cooking Oil
B00113,Tomatoes
B00113,Tea
B00113,Airtime1000
B00114,Cooking Oil
B00114,Tomatoes
B00114,Onions
B00114,Eggs
B00115,Onions
B00115,Potatoes
B00115,Water
B00115,Airtime2000
B00115,Likuni Phala
B00115,Sugar
B00116,Soft Drink
B00116,Chicken
B00116,Beans
B00116,Airtime2000
B00116,Likuni Phala
B00116,Biscuits
B00117,Water
B00117,Cooking Oil
B00117,Onions
B00118,Soft Drink
B00118,Airtime2000
B00118,Beans
B00118,Chicken
B00119,Sugar
B00119,Airtime1000
B00120,Eggs
B00120,Onions
B00120,Chicken
B00121,Beans
B00121,Eggs
B00122,Beans
B00122,Toothpaste
B00122,Onions
B00122,Milk
B00123,Onions
B00123,Chicken
B00123,Eggs
B00123,Beans
B00123,Airtime2000
B00123,Airtime1000
B00124,Soft Drink
B00124,Onions
B00124,Tomatoes
B00124,Eggs
B00124,Beans
B00124,Bread
B00124,Airtime2000
B00124,Milk
B00125,Onions
B00125,Cooking Oil
B00125,Potatoes
B00125,Bread
B00125,Tea
B00125,Sugar
B00125,Milk
B00126,Onions
B00126,Bread
B00126,Rice
B00126,Tea
B00126,Soap
B00126,Milk
B00127,Potatoes
B00127,Eggs
B00127,Onions
B00127,Tomatoes
B00128,Airtime1000
B00128,Likuni Phala
B00128,Chicken
B00129,Soft Drink
B00129,Rice
B00129,Airtime1000
B00129,Beans
B00130,Potatoes
B00130,Water
B00130,Airtime2000
B00130,Toothpaste
B00130,Airtime1000
B00131,Onions
B00131,Chicken
B00131,Cooking Oil
B00131,Tea
B00131,Airtime2000
B00131,Likuni Phala
B00131,Sugar
B00132,Potatoes
B00132,Bread
B00132,Rice
B00132,Airtime2000
B00132,Biscuits
B00132,Airtime1000
B00133,Soft Drink
B00133,Cooking Oil
B00133,Eggs
B00133,Tomatoes
B00133,Bread
B00133,Toothpaste
B00134,Chicken
B00134,Beans
B00134,Bread
B00134,Toothpaste
B00134,Soap
B00134,Airtime1000
B00134,Milk
B00135,Biscuits
B00135,Airtime1000
B00135,Onions
B00135,Chicken
B00136,Cooking Oil
B00136,Potatoes
B00136,Eggs
B00136,Soap
B00136,Rice
B00136,Toothpaste
B00136,Sugar
B00136,Biscuits
B00136,Airtime1000
B00137,Biscuits
B00137,Tea
B00137,Soap
B00137,Potatoes
B00138,Onions
B00138,Bread
B00138,Tea
B00138,Likuni Phala
B00138,Biscuits
B00138,Milk
B00139,Water
B00139,Soap
B00139,Airtime1000
B00139,Toothpaste
B00140,Soft Drink
B00140,Potatoes
B00140,Eggs
B00140,Tea
B00140,Rice
B00140,Airtime2000
B00140,Sugar
B00140,Soap
B00140,Airtime1000
B00141,Beans
B00141,Soap
B00141,Bread
B00141,Milk
B00142,Chicken
B00142,Water
B00142,Tea
B00142,Airtime2000
B00142,Biscuits
B00143,Biscuits
B00143,Eggs
B00143,Likuni Phala
B00144,Soft Drink
B00144,Chicken
B00144,Eggs
B00144,Water
B00144,Beans
B00144,Bread
B00144,Airtime2000
B00144,Toothpaste
B00144,Sugar
B00144,Soap
B00145,Potatoes
B00145,Eggs
B00145,Milk
B00146,Cooking Oil
B00146,Potatoes
B00146,Beans
B00146,Biscuits
B00146,Airtime1000
B00147,Cooking Oil
B00147,Potatoes
B00147,Eggs
B00147,Water
B00147,Beans
B00147,Bread
B00147,Rice
B00147,Tea
B00148,Onions
B00148,Cooking Oil
B00148,Eggs
B00148,Tomatoes
B00148,Tea
B00148,Airtime2000
B00149,Chicken
B00149,Cooking Oil
B00149,Potatoes
B00149,Beans
B00149,Bread
B00150,Onions
B00150,Chicken
B00150,Cooking Oil
B00150,Bread
B00150,Rice
B00150,Tea
B00150,Airtime1000
B00150,Milk
B00151,Bread
B00151,Airtime2000
B00151,Milk
B00152,Chicken
B00152,Cooking Oil
B00152,Eggs
B00152,Water
B00152,Beans
B00152,Tea
B00152,Milk
B00153,Potatoes
B00153,Tomatoes
B00153,Eggs
B00153,Bread
B00153,Tea
B00153,Toothpaste
B00153,Soap
B00153,Milk
B00154,Cooking Oil
B00154,Bread
B00154,Rice
B00154,Airtime2000
B00154,Toothpaste
B00154,Milk
B00155,Soft Drink
B00155,Cooking Oil
B00155,Potatoes
B00155,Water
B00155,Beans
B00155,Sugar
B00156,Soft Drink
B00156,Onions
B00156,Airtime2000
B00156,Likuni Phala
B00156,Sugar
B00157,Eggs
B00157,Beans
B00157,Likuni Phala
B00157,Toothpaste
B00157,Sugar
B00157,Soap
B00158,Soft Drink
B00158,Chicken
B00158,Cooking Oil
B00158,Eggs
B00158,Beans
B00158,Airtime2000
B00158,Toothpaste
B00158,Airtime1000
B00159,Cooking Oil
B00159,Water
B00159,Tea
B00159,Sugar
B00159,Soap
B00159,Airtime1000
B00160,Sugar
B00160,Beans
B00161,Potatoes
B00161,Water
B00161,Beans
B00161,Likuni Phala
B00161,Soap
B00161,Airtime1000
B00162,Onions
B00162,Cooking Oil
B00162,Beans
B00162,Bread
B00162,Toothpaste
B00162,Biscuits
B00162,Airtime1000
B00162,Milk
B00163,Onions
B00163,Chicken
B00163,Water
B00163,Bread
B00163,Biscuits
B00163,Airtime1000
B00163,Milk
B00164,Sugar
B00164,Biscuits
B00164,Beans
B00164,Onions
B00165,Soft Drink
B00165,Cooking Oil
B00165,Beans
B00165,Onions
B00166,Cooking Oil
B00166,Eggs
B00166,Tomatoes
B00166,Rice
B00166,Toothpaste
B00166,Soap
B00167,Cooking Oil
B00167,Airtime1000
B00167,Onions
B00168,Chicken
B00168,Potatoes
B00168,Eggs
B00168,Tomatoes
B00168,Tea
B00168,Airtime1000
B00169,Water
B00169,Potatoes
B00169,Eggs
B00169,Airtime2000
B00170,Biscuits
B00170,Tomatoes
B00170,Airtime2000
B00170,Airtime1000
B00171,Onions
B00171,Tomatoes
B00171,Likuni Phala
B00171,Toothpaste
B00171,Milk
B00172,Soft Drink
B00172,Cooking Oil
B00173,Soft Drink
B00173,Onions
B00173,Tomatoes
B00173,Bread
B00173,Airtime2000
B00173,Likuni Phala
B00173,Toothpaste
B00173,Sugar
B00174,Onions
B00174,Chicken
B00174,Cooking Oil
B00174,Eggs
B00174,Beans
B00174,Milk
B00175,Cooking Oil
B00175,Soap
B00175,Bread
B00175,Rice
B00175,Sugar
B00175,Biscuits
B00175,Milk
B00176,Soft Drink
B00176,Onions
B00176,Eggs
B00176,Soap
B00176,Toothpaste
B00176,Biscuits
B00177,Chicken
B00177,Toothpaste
B00177,Sugar
B00177,Soap
B00177,Airtime1000
B00178,Sugar
B00178,Rice
B00179,Tomatoes
B00179,Beans
B00179,Rice
B00179,Likuni Phala
B00179,Soap
B00179,Airtime1000
B00180,Soft Drink
B00180,Potatoes
B00180,Tea
B00180,Airtime2000
B00180,Biscuits
B00181,Onions
B00181,Cooking Oil
B00181,Tomatoes
B00181,Beans
B00181,Biscuits
B00181,Airtime1000
B00181,Milk
B00182,Soft Drink
B00182,Beans
B00182,Bread
B00182,Sugar
B00182,Airtime1000
B00182,Milk
B00183,Water
B00183,Cooking Oil
B00183,Airtime2000
B00183,Toothpaste
B00184,Potatoes
B00184,Beans
B00184,Bread
B00184,Tea
B00184,Likuni Phala
B00184,Sugar
B00184,Biscuits
B00184,Airtime1000
B00184,Milk
B00185,Soft Drink
B00185,Onions
B00185,Potatoes
B00185,Tomatoes
B00185,Water
B00185,Toothpaste
B00185,Soap
B00185,Airtime1000
B00186,Soft Drink
B00186,Biscuits
B00186,Toothpaste
B00187,Beans
B00187,Potatoes
B00188,Water
B00188,Potatoes
B00189,Biscuits
B00189,Airtime2000
B00189,Onions
B00189,Chicken
B00190,Soap
B00190,Biscuits
B00190,Chicken
B00190,Toothpaste
B00191,Onions
B00191,Tomatoes
B00191,Eggs
B00191,Beans
B00191,Tea
B00191,Bread
B00191,Rice
B00191,Airtime1000
B00191,Milk
B00192,Onions
B00192,Potatoes
B00192,Tomatoes
B00192,Tea
B00192,Milk
B00193,Cooking Oil
B00193,Eggs
B00193,Beans
B00193,Tea
B00193,Airtime2000
B00193,Toothpaste
B00194,Water
B00194,Biscuits
B00194,Bread
B00194,Milk
B00195,Potatoes
B00195,Airtime1000
B00195,Airtime2000
B00195,Eggs
B00196,Soft Drink
B00197,Chicken
B00197,Potatoes
B00197,Bread
B00197,Rice
B00197,Tea
B00197,Sugar
B00197,Biscuits
B00197,Milk
B00198,Beans
B00198,Cooking Oil
B00198,Eggs
B00198,Rice
B00199,Chicken
B00199,Potatoes
B00199,Bread
B00199,Rice
B00199,Milk
B00200,Cooking Oil
B00200,Tomatoes
B00200,Tea
B00200,Toothpaste
B00200,Sugar
B00201,Cooking Oil
B00201,Eggs
B00201,Tomatoes
B00201,Tea
B00201,Rice
B00201,Biscuits
B00202,Cooking Oil
B00202,Tomatoes
B00202,Water
B00202,Toothpaste
B00202,Sugar
B00203,Cooking Oil
B00203,Rice
B00203,Airtime2000
B00203,Likuni Phala
B00203,Biscuits
B00204,Chicken
B00204,Water
B00204,Beans
B00204,Rice
B00204,Likuni Phala
B00204,Soap
B00204,Airtime1000
B00204,Milk
B00205,Onions
B00205,Water
B00205,Bread
B00205,Airtime2000
B00205,Airtime1000
B00205,Milk
B00206,Soft Drink
B00206,Eggs
B00207,Beans
B00207,Airtime2000
B00208,Cooking Oil
B00208,Beans
B00208,Water
B00208,Bread
B00208,Milk
B00209,Soft Drink
B00209,Rice
B00209,Onions
B00209,Chicken
B00210,Onions
B00210,Potatoes
B00210,Airtime2000
B00210,Likuni Phala
B00210,Toothpaste
B00210,Soap
B00210,Airtime1000
B00211,Soft Drink
B00211,Onions
B00211,Potatoes
B00211,Eggs
B00211,Tea
B00211,Bread
B00211,Airtime2000
B00211,Soap
B00211,Milk
B00212,Rice
B00212,Airtime2000
B00212,Chicken
B00212,Toothpaste
B00213,Beans
B00213,Biscuits
B00213,Onions
B00214,Soft Drink
B00214,Potatoes
B00214,Chicken
B00215,Eggs
B00215,Tomatoes
B00215,Airtime2000
B00215,Onions
B00216,Soft Drink
B00216,Cooking Oil
B00216,Bread
B00216,Likuni Phala
B00216,Milk
B00217,Chicken
B00217,Cooking Oil
B00217,Tomatoes
B00217,Rice
B00217,Toothpaste
B00217,Soap
B00217,Airtime1000
B00217,Milk
B00218,Chicken
B00218,Cooking Oil
B00218,Potatoes
B00218,Water
B00218,Tea
B00218,Biscuits
B00219,Biscuits
B00219,Airtime1000
B00219,Chicken
B00219,Toothpaste
B00220,Cooking Oil
B00220,Water
B00220,Airtime2000
B00220,Likuni Phala
B00220,Sugar
B00221,Onions
B00221,Bread
B00221,Airtime2000
B00221,Likuni Phala
B00221,Toothpaste
B00222,Soft Drink
B00222,Onions
B00222,Cooking Oil
B00222,Potatoes
B00222,Tomatoes
B00222,Eggs
B00222,Water
B00222,Tea
B00222,Biscuits
B00222,Milk
B00223,Sugar
B00223,Cooking Oil
B00223,Likuni Phala
B00223,Beans
B00224,Potatoes
B00224,Tomatoes
B00224,Toothpaste
B00224,Biscuits
B00224,Airtime1000
B00225,Cooking Oil
B00225,Rice
B00225,Onions
B00225,Chicken
B00226,Soft Drink
B00226,Onions
B00226,Potatoes
B00226,Tomatoes
B00226,Tea
B00226,Likuni Phala
B00226,Sugar
B00226,Biscuits
B00226,Airtime1000
B00226,Milk
B00227,Soft Drink
B00227,Cooking Oil
B00227,Eggs
B00227,Rice
B00227,Airtime2000
B00227,Sugar
B00228,Soft Drink
B00228,Toothpaste
B00229,Chicken
B00229,Cooking Oil
B00229,Likuni Phala
B00229,Toothpaste
B00229,Soap
B00230,Chicken
B00230,Potatoes
B00230,Bread
B00230,Toothpaste
B00230,Biscuits
B00231,Soft Drink
B00231,Cooking Oil
B00231,Biscuits
B00231,Likuni Phala
B00232,Eggs
B00232,Water
B00232,Bread
B00232,Soap
B00232,Airtime1000
B00232,Milk
B00233,Onions
B00233,Cooking Oil
B00233,Tomatoes
B00233,Tea
B00233,Rice
B00233,Airtime2000
B00233,Likuni Phala
B00233,Toothpaste
B00233,Airtime1000
B00234,Chicken
B00234,Cooking Oil
B00234,Potatoes
B00234,Beans
B00234,Water
B00234,Bread
B00234,Airtime2000
B00234,Biscuits
B00235,Soft Drink
B00235,Chicken
B00235,Rice
B00235,Likuni Phala
B00235,Sugar
B00235,Biscuits
B00236,Soft Drink
B00236,Cooking Oil
B00236,Potatoes
B00236,Eggs
B00236,Rice
B00236,Airtime1000
B00237,Tea
B00237,Airtime1000
B00237,Chicken
B00238,Soft Drink
B00238,Cooking Oil
B00238,Beans
B00238,Toothpaste
B00238,Biscuits
B00239,Water
B00239,Biscuits
B00239,Likuni Phala
B00239,Toothpaste
B00240,Soft Drink
B00240,Chicken
B00240,Cooking Oil
B00240,Water
B00240,Rice
B00240,Soap
B00241,Soft Drink
B00241,Onions
B00241,Potatoes
B00241,Water
B00241,Toothpaste
B00241,Sugar
B00242,Soft Drink
B00242,Cooking Oil
B00242,Tomatoes
B00242,Rice
B00242,Sugar
B00242,Milk
B00243,Potatoes
B00243,Tea
B00243,Toothpaste
B00243,Sugar
B00243,Soap
B00243,Airtime1000
B00244,Onions
B00244,Cooking Oil
B00244,Tomatoes
B00244,Airtime2000
B00244,Sugar
B00244,Biscuits
B00245,Sugar
B00245,Airtime2000
B00245,Chicken
B00245,Toothpaste
B00246,Soft Drink
B00246,Chicken
B00246,Cooking Oil
B00246,Bread
B00246,Rice
B00246,Toothpaste
B00246,Milk
B00247,Biscuits
B00247,Bread
B00247,Onions
B00248,Cooking Oil
B00248,Potatoes
B00248,Rice
B00248,Sugar
B00248,Airtime1000
B00249,Chicken
B00249,Cooking Oil
B00249,Tomatoes
B00249,Tea
B00249,Biscuits
B00249,Airtime1000
B00250,Onions
B00250,Eggs
B00250,Tea
B00250,Bread
B00250,Toothpaste
B00251,Beans
B00251,Soap
B00251,Milk
B00252,Onions
B00252,Cooking Oil
B00252,Potatoes
B00252,Eggs
B00252,Tomatoes
B00252,Beans
B00252,Tea
B00252,Toothpaste
B00252,Soap
B00253,Soft Drink
B00253,Water
B00253,Onions
B00254,Sugar
B00254,Bread
B00254,Eggs
B00254,Likuni Phala
B00255,Biscuits
B00255,Likuni Phala
B00256,Onions
B00256,Cooking Oil
B00256,Tomatoes
B00256,Likuni Phala
B00256,Toothpaste
B00256,Soap
B00256,Airtime1000
B00256,Milk
B00257,Onions
B00257,Potatoes
B00257,Tomatoes
B00257,Beans
B00257,Tea
B00257,Toothpaste
B00257,Milk
B00258,Chicken
B00258,Potatoes
B00258,Soap
B00258,Water
B00258,Beans
B00258,Airtime2000
B00258,Toothpaste
B00258,Biscuits
B00259,Beans
B00259,Bread
B00259,Rice
B00259,Toothpaste
B00259,Sugar
B00259,Milk
B00260,Soft Drink
B00260,Chicken
B00260,Onions
B00260,Cooking Oil
B00260,Potatoes
B00260,Tomatoes
B00260,Water
B00260,Rice
B00261,Onions
B00261,Cooking Oil
B00261,Eggs
B00261,Tomatoes
B00261,Bread
B00261,Airtime2000
B00261,Likuni Phala
B00261,Milk
B00262,Soft Drink
B00262,Rice
B00262,Toothpaste
B00262,Sugar
B00262,Soap
B00263,Water
B00263,Sugar
B00263,Airtime2000
B00263,Chicken
B00264,Soft Drink
B00264,Onions
B00264,Cooking Oil
B00264,Tomatoes
B00264,Rice
B00264,Airtime2000
B00264,Sugar
B00264,Airtime1000
B00265,Soft Drink
B00265,Onions
B00265,Eggs
B00265,Tomatoes
B00265,Beans
B00265,Tea
B00265,Likuni Phala
B00265,Sugar
B00265,Airtime1000
B00266,Cooking Oil
B00266,Rice
B00266,Airtime2000
B00266,Airtime1000
B00266,Soap
B00266,Biscuits
B00267,Sugar
B00267,Biscuits
B00267,Toothpaste
B00268,Water
B00268,Biscuits
B00268,Beans
B00269,Biscuits
B00269,Cooking Oil
B00270,Cooking Oil
B00270,Potatoes
B00270,Tomatoes
B00270,Milk
B00271,Onions
B00271,Cooking Oil
B00271,Tomatoes
B00271,Water
B00271,Beans
B00271,Soap
B00271,Airtime1000
B00272,Onions
B00272,Tomatoes
B00272,Beans
B00272,Tea
B00272,Soap
B00272,Biscuits
B00273,Cooking Oil
B00273,Bread
B00273,Rice
B00274,Chicken
B00274,Onions
B00274,Soap
B00274,Likuni Phala
B00274,Toothpaste
B00274,Sugar
B00274,Biscuits
B00275,Tea
B00275,Airtime1000
B00275,Airtime2000
B00275,Toothpaste
B00276,Tomatoes
B00276,Bread
B00276,Likuni Phala
B00276,Soap
B00276,Milk
B00277,Soft Drink
B00277,Water
B00277,Beans
B00277,Airtime2000
B00277,Airtime1000
B00278,Soft Drink
B00278,Potatoes
B00278,Tea
B00278,Toothpaste
B00278,Soap
B00279,Onions
B00279,Cooking Oil
B00279,Potatoes
B00279,Tomatoes
B00279,Water
B00279,Beans
B00279,Bread
B00279,Milk
B00280,Soft Drink
B00280,Onions
B00280,Potatoes
B00280,Tomatoes
B00280,Eggs
B00280,Beans
